"table","column"
"baskets","storeId"
"invoiceAddress","valueAddedTaxId"
"subOrders","deliveryType"
"knownAddresses","city"
"addressData","longitude"
"knownAddresses","houseNumber"
"invoiceAddress","companyAddition1"
"Meine REWE-Shop-Daten","uuid"
"invoiceAddress","companyAddition2"
"Meine REWE-Shop-Daten","minimumOrderAmount"
"merchantInfo","name"
"paybackInfo","usePayback"
"baskets","currencyCode"
"Meine REWE-Shop-Daten","customerType"
"deliveryFee","lowestTablePrice"
"knownAddresses","surname"
"knownAddresses","countryCode"
"paybackInfo","paybackNumber"
"Meine REWE-Shop-Daten","paymentData"
"baskets","deliveryFee"
"minDelivery","price"
"deliveryFee","staggering"
"addressData","salutation"
"deliveryAddress","street"
"deliveryAddress","addressAddition"
"baskets","totalPrice"
"addressData","firstName"
"timeSlot","firstSlotDate"
"invoiceAddress","companyName"
"Meine REWE-Shop-Daten","firstName"
"subOrders","subOrderValue"
"baskets","articlePrice"
"orders","orderId"
"Meine REWE-Shop-Daten","salutation"
"Meine REWE-Shop-Daten","lat"
"basketOverviewInfoTexts","message"
"deliveryAddress","title"
"Meine REWE-Shop-Daten","minimumOrderAmount"
"baskets","version"
"deliveryAddress","phoneNumber"
"orders","paybackInfo"
"minDelivery","bulkyGoodsIncluded"
"deliveryAddress","firstName"
"deliveryFee","reachedStaggering"
"timeSlot","cutoffTime"
"deliveryAddress","salutation"
"baskets","violations"
"lineItems","title"
"addressData","street"
"subOrders","originalUserComment"
"Meine REWE-Shop-Daten","walletCoupons"
"timeSlot","undiscountedPrice"
"baskets","merchantBasketsTotalPrice"
"baskets","bulkyGoodsLimit"
"timeSlot","price"
"subOrders","userComment"
"baskets","reservationTotal"
"deliveryAddress","geoData"
"baskets","customerUUID"
"invoiceAddress","houseNumber"
"baskets","merchantBaskets"
"lineItems","quantity"
"timeSlot","lastSlotDate"
"Meine REWE-Shop-Daten","orders"
"violations","id"
"invoiceAddress","lastName"
"Meine REWE-Shop-Daten","customerNumber"
"invoiceAddress","commercialRegisterNumber"
"invoiceAddress","city"
"orders","orderValue"
"deliveryAddress","zipCode"
"deliveryAddress","country"
"coupons","description"
"baskets","serviceTypes"
"baskets","id"
"orders","subOrders"
"baskets","basketOverviewInfoTexts"
"orders","payments"
"subOrders","lineItems"
"baskets","beverageSurcharge"
"coupons","code"
"Meine REWE-Shop-Daten","unknownAddresses"
"subOrders","paybackNumber"
"invoiceAddress","geoData"
"minDelivery","minimumOrderAmount"
"Meine REWE-Shop-Daten","knownAddresses"
"subOrders","merchantInfo"
"coupons","type"
"baskets","articlePriceBulkyGoods"
"baskets","totalPriceInclServiceFee"
"basketOverviewInfoTexts","key"
"Meine REWE-Shop-Daten","paybackNumber"
"coupons","text"
"orders","creationDate"
"invoiceAddress","salutation"
"lineItems","price"
"timeSlot","slotId"
"orders","clientInfo"
"baskets","bulkyGoodsAmount"
"Meine REWE-Shop-Daten","coupons"
"knownAddresses","street"
"Meine REWE-Shop-Daten","loginName"
"invoiceAddress","phoneNumber"
"invoiceAddress","firstName"
"violations","message"
"baskets","modificationDate"
"subOrders","callbackPhoneNumber"
"paymentData","payPalBillingAgreements"
"invoiceAddress","zipCode"
"invoiceAddress","country"
"subOrders","timeSlot"
"addressData","phone"
"deliveryAddress","lastName"
"deliveryAddress","commercialRegisterNumber"
"Meine REWE-Shop-Daten","discountAmount"
"orders","invoiceAddress"
"deliveryAddress","city"
"invoiceAddress","customerType"
"addressData","zip"
"knownAddresses","paymentData"
"deliveryAddress","houseNumber"
"coupons","basket"
"baskets","creationDate"
"knownAddresses","zipCode"
"Meine REWE-Shop-Daten","lastName"
"subOrders","merchant"
"lineItems","totalPrice"
"baskets","isAgeRestricted"
"addressData","countryCode"
"baskets","articlePriceWithoutBulkyGoods"
"addressData","houseNumber"
"deliveryAddress","companyAddition1"
"deliveryAddress","companyAddition2"
"baskets","merchantBasketsArticleCount"
"baskets","optionalFees"
"subOrders","additionalEmail"
"coupons","ean"
"deliveryAddress","valueAddedTaxId"
"addressData","lastName"
"baskets","minimumOrderAmount"
"baskets","minDelivery"
"payPalBillingAgreements","billingAgreementStatus"
"addressData","city"
"addressData","latitude"
"subOrders","channel"
"invoiceAddress","title"
"subOrders","orderType"
"Meine REWE-Shop-Daten","long"
"baskets","zipCode"
"baskets","refundPrice"
"knownAddresses","firstName"
"payments","paymentMethod"
"deliveryAddress","companyName"
"Meine REWE-Shop-Daten","discountAmount"
"invoiceAddress","street"
"invoiceAddress","addressAddition"
"subOrders","coupons"
"subOrders","deliveryAddress"
