"table","column"
"Online shopping","Goods/services"
"Online shopping","Price"
"Online shopping","Discount amount"
"Online shopping","Place of operation"
"Online shopping","Date of operation"
"Delivery and collection","Invoicing address"
"Delivery and collection","Delivery address"
"Delivery and collection","Number"
"Delivery and collection","preferred pick-up times or delivery times"
"Delivery and collection","Certificate of delivery"
"Payment processing","Credit card details"
"Payment processing","Account data"
"Payment processing","PayPal data"
"Shipping costs","Delivery flat"
"Old age examination","Date"
"Credit","Credit"
"Delivery","Parking space"
"Data from postal service providers","Verification of the delivery address"
"Abo of Push notifications","Installation ID"
"Abo of Push notifications","Advertisting ID"
"Abo of Push notifications","API Level of SDK (Android)"
"Abo of Push notifications","IP address"
"Abo of Push notifications","Bundel ID OS version"
"Abo of Push notifications","App Version"
"Abo of Push notifications","Batch SDK Version"
"Abo of Push notifications","Push tokens"
"Abo of Push notifications","Push Notification Opt-In Status MLVL (Mobile Landing Version)"
"Abo of Push notifications","Label"
"Abo of Push notifications","Device model"
"Abo of Push notifications","Mobile devices"
"Abo of Push notifications","Languages"
"Abo of Push notifications","Country"
"Abo of Push notifications","Region"
"Abo of Push notifications","Time zone of the device"
