Messages Information__Messages Content,convos__Content
Messages Information__Messages Metadata,convos__images
Messages Information__Messages Metadata,convos__Sender
Messages Information__Messages Metadata,convos__Date
Messages Information__Messages Metadata,convos__Subject
Messages Information__Messages Metadata,convos__Recipient
Transaction Information__items purchased,purchases__url
Transaction Information__purchase price,purchases__Price
Transaction Information__purchase price,purchases__Shipping cost
Transaction Information__date,purchases__Paid date
Transaction Information__date,purchases__Shipped date
General Location Information__IP addresses,signin_history__ip address
General Location Information__zip or post code,signin_history__location
General Location Information__country, state or city,signin_history__location
General Location Information__regional preferences,signin_history__location
Delivery Information__delivery address,shipping_addresses__first line
Delivery Information__delivery address,shipping_addresses__second line
Delivery Information__delivery address,shipping_addresses__zip code
Delivery Information__delivery address,shipping_addresses__state
