"table","column"
"purchases","Price"
"purchases","Description"
"purchases","Shipping cost"
"purchases","url"
"purchases","Title"
"purchases","Paid date"
"purchases","Shipped date"
"shipping_addresses","second line"
"shipping_addresses","city"
"shipping_addresses","zip code"
"shipping_addresses","state"
"shipping_addresses","first line"
"signin_history","create date"
"signin_history","accessed via"
"signin_history","ip address"
"signin_history","location"
"convos","Content"
"convos","images"
"convos","Sender"
"convos","Date"
"convos","Subject"
"convos","Recipient"
