"table","column"
"Buyer Details","name"
"Buyer Details","email"
"Buyer Details","phone number"
"Buyer Payment Information","billing adress"
"Buyer Payment Information","payment information"
"Delivery Information","delivery address"
"Delivery Information","contact name"
"Regional Information","country"
"Regional Information","preferred language"
"Regional Information","currency"
"Buyer Public Profile Information","name"
"Buyer Public Profile Information","Birthday"
"Buyer Public Profile Information","Gender"
"Buyer Public Profile Information","Location"
"Buyer Public Profile Information","Profile photo"
"Buyer Public Profile Information","bio"
"Buyer Public Profile Information","Favourites and Collections"
"Buyer Public Profile Information","Who you follow"
"Buyer Public Profile Information","followers"
"Buyer Public Profile Information","Linked third-party accounts"
"Buyer Public Profile Information","Product reviews"
"Buyer Public Profile Information","Registry information"
"Transaction Information","shop name"
"Transaction Information","items purchased"
"Transaction Information","Buyer’s name"
"Transaction Information","purchase price"
"Transaction Information","date"
"Messages Information","Messages Content"
"Messages Information","Messages Metadata"
"Browser and Device Information","IP address"
"Browser and Device Information","device type"
"Browser and Device Information","hardware model"
"Browser and Device Information","operating system information"
"Browser and Device Information","unique device identifier"
"Browser and Device Information","detected language"
"App information","app version"
"App information","app usage"
"App information","debugging information"
"App information","app ID"
"Service Usage Information","how often you use the Sites and/or Apps"
"Service Usage Information","what happens within the Sites and/or Apps"
"Service Usage Information","what listings you view and interact with"
"Service Usage Information","mouse movements"
"Service Usage Information","searches"
"Service Usage Information","pages you visit"
"Diagnostic and Troubleshooting Information","service-related diagnostic"
"Diagnostic and Troubleshooting Information","performance information"
"Diagnostic and Troubleshooting Information","timestamps"
"Diagnostic and Troubleshooting Information","crash data"
"Diagnostic and Troubleshooting Information","website performance logs"
"Diagnostic and Troubleshooting Information","error messages or reports"
"General Location Information","IP addresses"
"General Location Information","zip or post code"
"General Location Information","country, state or city"
"General Location Information","regional preferences"
"Precise Location Information","precise geo-location"
"Cookie Information","Cookie Information"
"Information from our Payment Processors and Other Entities","name"
"Information from our Payment Processors and Other Entities","billing adress"
"Information from our Payment Processors and Other Entities","email adress"
"Information from our Payment Processors and Other Entities","phone number"
"Information from our Payment Processors and Other Entities","Fraud prevention data"
"Information from Advertising and Marketing Partners","age"
"Information from Advertising and Marketing Partners","gender"
"Information from Advertising and Marketing Partners","household composition"
"Information from Advertising and Marketing Partners","estimated income"
"Information from Advertising and Marketing Partners","interests"
"Information from Advertising and Marketing Partners","purchasing habits"
"Analytics Information"," how often you use the Site and/or Apps"
"Analytics Information","what happens within the Apps or on our Site"
"Analytics Information","aggregated usage"
"Analytics Information","performance data"
"Analytics Information","app errors"
"Analytics Information","debugging information"
"Analytics Information","where the Apps were downloaded from"
