"table","column"
"Personal Data File","Country where the data is stored"
"Personal Data File","Message"
"Bank Information - Deutsche Kreditbank AG (Active)","Bank Currency"
"Personal Data File","E-mail addresses on File"
"Personal Data File","Account Number"
"Personal Data File","Profile Information"
"Personal Data File","First Name"
"Personal Data File","Open/Locked - Limited"
"Bank Information - Deutsche Kreditbank AG (Active)","Bank Country"
"Personal Data File","Primary Mobile Phone Number"
"Personal Data File","Data"
"Personal Data File","Account Close date"
"Personal Data File","Data"
"Personal Data File","Data"
"Personal Data File","Date Of Birth"
"Personal Data File","Crypto Currency Information as of 21 Jul, 2024"
"Bank Information - Deutsche Kreditbank AG (Active)","Branch Code"
"Personal Data File","Credit and Debit Cards"
"Personal Data File","Open - Locked"
"Bank Information - Deutsche Kreditbank AG (Active)","Bank Routing Number"
"Data","Date"
"Bank Information - Deutsche Kreditbank AG (Active)","Bank Address"
"Data","Card Last 4 digits"
"Personal Data File","Permanently Limited"
"Personal Data File","Last Name"
"Data","Product Name"
"Bank Information - Deutsche Kreditbank AG (Active)","Bank Name"
"Bank Information","Bank Information - Deutsche Kreditbank AG (Active)"
"Personal Data File","PayPal Rewards Information until 21 Jul, 2024"
"Personal Data File","TAX ID"
"Personal Data File","Data Availability Information"
"Personal Data File","Bank Information"
"Personal Data File","Addresses on File"
"Personal Data File","Message"
"Personal Data File","Middle Name"
"Personal Data File","ID Number"
"Data","Expiry Date"
"Personal Data File","Language"
"Bank Information - Deutsche Kreditbank AG (Active)","IBAN / BBAN"
"Personal Data File","Phone numbers on File"
"Personal Data File","Account Type"
"Personal Data File","Open"
"Personal Data File","Account Balance as of 21 Jul, 2024"
"Personal Data File","Points Available"
"Personal Data File","Account Status"
"Personal Data File","Copies of IDs (For Security reasons, please contact us for the copies of any identity documents)"
"Personal Data File","Closed"
"Personal Data File","Data"
"Data","Name"
"Personal Data File","SSN"
"Personal Data File","Nationality"
"Personal Data File","Primary E-mail"
"Personal Data File","*Account Status Information and Remarks"
"Personal Data File","Account Open date"
"Personal Data File","PayPal Account Information"
"Bank Information - Deutsche Kreditbank AG (Active)","Bank Last 4"
"Personal Data File","Primary Address"
"Personal Data File","Financial Application Status"
"Personal Data File","Preferred Name"
"Personal Data File","Data"
"Personal Data File","Account Time Zone"
"Data","Status"
"Personal Data File","Email IDs Accessed for Package Tracking"
"Data","Currency"
"Bank Information - Deutsche Kreditbank AG (Active)","Bank Identifier Code"
