"table","column"
"Registration and contact data","Name"
"Registration and contact data","Postal address"
"Registration and contact data","E-mail address"
"Registration and contact data","Income"
"Registration and contact data","Number"
"Registration and contact data","Tax number"
"Registration and contact data","Payment information"
"Registration and contact data","Information about your profession"
"Registration and contact data","Employment"
"Registration and contact data","Business"
"Identification and signature data","Identification and signature data"
"Payment information","sent or requested amount"
"Payment information","Amount"
"Payment information","used card or source of payment"
"Payment information","Exhibitor name"
"Payment information","Card type"
"Payment information","Country code"
"Payment information","Account number of the payment account"
"Payment information","CVV"
"Payment information","Username"
"Payment information","IBAN information"
"Information about your imported contacts","Information about your imported contacts"
"Account profile","Username"
"Account profile","E-mail address"
"Account profile","Mobile phone number"
"Account profile","Profile"
"Account profile","preferred language"
"Account profile","Description of your person"
"Information you provide if you contact us","Information you provide if you contact us"
"Device data","Device type"
"Device data","Network connections"
"Device data","Name"
"Device data","IP address"
"Device data","Information about the web browser"
"Device data","Information about the Internet connection"
"Device data","Geologicization data"
"Device data","Information about apps downloaded to your device"
"Device data","biometric data"
"Derived data","Behavior patterns"
"Derived data","personal preferences"
"Derived data","Browsing and shopping habits"
"Derived data","Creditworthiness"
"Data from the third-party accounts you link","Data from the third-party accounts you link"
"Information from information","outstanding and historical debt"
"Information from information","Repayment history"
"Information from information","previous credit permits"
"Information from information","Working conditions"
"Information from information","Relations with other financial institutions"
"Transaction data","Article description"
"Transaction data","Quantity"
"Transaction data","Price"
"Transaction data","Currency"
"Transaction data","Delivery address"
"Transaction data","Online Basket Information"
"Transaction data","Seller and buyer information"
"Transaction data","Payment information"
"Information on legal regulations","Information on legal regulations"
"Technical usage data of cookies","Response time for websites"
"Technical usage data of cookies","Download error"
"Technical usage data of cookies","Date and time of use"
"Information from your device","Language settings"
"Information from your device","IP address"
"Information from your device","Date and time of use"
"Information from your device","Browser ID"
"Information from your device","Device ID"
"Information from your device","Cookie settings"
"Information from your device","Time zone"
"Information from your device","Operating system"
"Information from your device","Platform"
"Information from your device","Screen resolution"
"Information from your device","Data collected by cookies or other tracking technologies"
"Location information","Width"
"Location information","Longitude"
"Location information","GPS information"
"Derived data","Derived data"
