"table","column"
"Account data","Name"
"Account data","E-mail address"
"Account data","Date"
"Account data","Gender"
"Account data","Country"
"Account data","Interest"
"Account data","Languages"
"Contents","Pins"
"Contents","Photos"
"Contents","Contents"
"Contents","Comments"
"Contents","News"
"Contents","Interactions"
"Precise location data","Precise location data"
"Communication with us","Communication with us"
"Contact","Contact"
"Device data","Type of device"
"Device data","Operating system"
"Device data","Network service providers"
"Device data","Settings"
"Device data","unique device identifier"
"Protocol data","IP address"
"Protocol data","Activities on websites you visit"
"Protocol data","Browser type"
"Protocol data","Browser settings"
"Protocol data","Date and time of your access"
"Data of cookies and similar technologies","Language settings"
"Data of cookies and similar technologies","other settings"
"Use data and conclusions","Education"
"Use data and conclusions","Professional experience"
"Use data and conclusions","Preferences"
"Location data","Location data"
"Third-party platforms","Protocol data"
"Third-party platforms","Use data"
"Technical service partners","Technical service partners"
"Advertisers or other partners","Visit the website of an advertiser"
"Advertisers or other partners","Purchases"
"Advertisers or other partners","Data about your interests"
"Advertisers or other partners","Pinterest tag data"
