"table","column"
"info","about_set_timestamp"
"info","profile_picture_upload_time"
"info","number_of_accounts"
"activity","device_id"
"info","phone_number"
"info","report_generation_time"
"activity","status"
"activity","online_since"
"activity","previous_connection_ip"
"activity","last_active_time"
"info","report_request_time"
"info","about"
"info","profile_picture"
"info","device_activity"
"service","tos_accepted_2016"
"service","data_sharing_opt_out"
"service","tos_accepted_2018"
"service","data_sharing_opt_out_time"
"service","tos_accept_time_2018"
"service","tos_accept_time_2016"
"service","tos_accepted_2021"
"info","registration_timestamp"
"info","device"
"info","platform"
"info","network"
"info","network_name"
"settings","about_privacy"
"settings","sync_sessions"
"settings","blocked_numbers"
"settings","device_sync_status"
"settings","notification_settings"
"info","device_manufacturer"
"settings","status_privacy"
"settings","settings_last_fetch_time"
"info","device_id"
"info","app_version"
"info","device_model"
"settings","blocked_numbers_update_time"
"settings","device_info"
"settings","last_seen_privacy"
"time","0"
"settings","profile_photo_privacy"
"info","operating_system_version"
"settings","muted_groups"
"status","device_id"
"settings","read_receipts"
