"table","column"
"Konto-Informationen","Mobiltelefonnummer"
"Konto-Informationen","Profilnamen"
"Benutzerinhalte","Status-Informationen"
"Benutzerinhalte","Genaue Standortinformationen"
"Netzwerk","Telefonnummern im Adressbuch"
"Netzwerk","Informationen zu Benutzer*innen, die dich kontaktieren und nicht in deinem Geräteadressbuch sind"
"Netzwerk","Informationen zu Benutzer*innen, die du blockiert hast"
"Netzwerk","Informationen zu Benutzer*innen, die dich blockiert haben"
"Community- und Gruppeninformationen","Community- und Gruppeninformationen"
"Informationen des Customer Supports und andere Mitteilungen","Informationen des Customer Supports und andere Mitteilungen"
"Konto-Zugriffsinformationen","Verifizierungs-Informationen"
"Konto-Zugriffsinformationen","Pin"
"Nutzungsinformationen","Zeitpunkt deiner Aktivität"
"Nutzungsinformationen","Dauer deiner Aktivität"
"Nutzungsinformationen","Häufigkeit deiner Aktivität"
"Nutzungsinformationen","„Zuletzt online“-Angabe"
"Nutzungsinformationen","Informationen zu den Funktionen, die du nutzt"
"Nutzungsinformationen","wann du zuletzt deine Profilinfo aktualisiert hast"
"Nutzungsinformationen","wann du Anrufe und Nachrichten tätigst"
"Protokoll- und Problemlösungsinformationen","Protokolldateien"
"Protokoll- und Problemlösungsinformationen","Zeitstempel"
"Protokoll- und Problemlösungsinformationen","Diagnosedaten"
"Protokoll- und Problemlösungsinformationen","Absturzdaten"
"Protokoll- und Problemlösungsinformationen","Performance-Logs von Webseiten"
"Protokoll- und Problemlösungsinformationen","Fehlerprotokolle"
"Geräte- und Verbindungsdaten","Hardware-Modell"
"Geräte- und Verbindungsdaten","Betriebssystem"
"Geräte- und Verbindungsdaten","Batteriestand"
"Geräte- und Verbindungsdaten","Signalstärke"
"Geräte- und Verbindungsdaten","App-Version"
"Geräte- und Verbindungsdaten","Informationen zum Browser"
"Geräte- und Verbindungsdaten","Informationen zum Mobilfunknetz"
"Geräte- und Verbindungsdaten","Verbindung"
"Geräte- und Verbindungsdaten","Mobilfunk- oder Internetanbieter"
"Geräte- und Verbindungsdaten","Sprache"
"Geräte- und Verbindungsdaten","Zeitzone"
"Geräte- und Verbindungsdaten","IP-Adresse"
"Geräte- und Verbindungsdaten","Informationen zum Gerätebetrieb"
"Geräte- und Verbindungsdaten","Kennungen"
"Allgemeine Standortinformationen","Allgemeine Standortinformationen"
"Cookies","Cookies"
"Benutzeroptionen","In-App-Einstellungen"
"Benutzeroptionen","Datenschutz-Einstellungen"
"Benutzeroptionen","Aufzeichnungen über die Annahme unserer Bedingungen"
"Authentifizierungsinformationen","Authentifizierungscodes"
"Authentifizierungsinformationen","öffentliche Verschlüsselungsschlüssel"
"Von anderen über dich bereitgestellte Informationen","Von anderen über dich bereitgestellte Informationen"
"Meldungen von Benutzer*innen","Meldungen von Benutzer*innen"
"Unternehmen auf WhatsApp","Unternehmen auf WhatsApp"
"Dienste Dritter","Dienste Dritter"
