"table","column"
"Account information","Mobile phone number"
"Account information","Profile names"
"User contents","Status information"
"User contents","Precise location information"
"Network","Phone numbers in the Address Book"
"Network","Information about users who contact you and are not in your device address book"
"Network","Information about users you have blocked"
"Network","Information about users who have blocked you"
"Community and group information","Community and group information"
"Customer support information and other communications","Customer support information and other communications"
"Account access information","Verification information"
"Account access information","Pins"
"Use information","Dates of activity"
"Use information","Duration of activity"
"Use information","Frequency of activity"
"Use information","“Next online” information"
"Use information","Information about the features you use"
"Use information","when you last updated your profile info"
"Use information","when to make calls and messages"
"Protocol and problem-solving information","Protocol files"
"Protocol and problem-solving information","Timestamp"
"Protocol and problem-solving information","Diagnostic data"
"Protocol and problem-solving information","Crash data"
"Protocol and problem-solving information","Performance logs of websites"
"Protocol and problem-solving information","Error logs"
"Device and connection data","Hardware model"
"Device and connection data","Operating system"
"Device and connection data","Battery status"
"Device and connection data","Signal strength"
"Device and connection data","App version"
"Device and connection data","Information about the browser"
"Device and connection data","Information about the mobile network"
"Device and connection data","Connection"
"Device and connection data","Mobile or Internet provider"
"Device and connection data","Languages"
"Device and connection data","Time zone"
"Device and connection data","IP address"
"Device and connection data","Device operation information"
"Device and connection data","Identification"
"General location information","General location information"
"Cookies","Cookies"
"User Options","In-App settings"
"User Options","Data protection settings"
"User Options","Records about the acceptance of our conditions"
"Authentication information","Authentication Codes"
"Authentication information","public encryption key"
"Information provided by others about you","Information provided by others about you"
"Messages from users","Messages from users"
"Company on WhatsApp","Company on WhatsApp"
"Services of third parties","Services of third parties"
