"de","en"
"Konto-Informationen__Mobiltelefonnummer","Account information__Mobile phone number"
"Konto-Informationen__Profilnamen","Account information__Profile names"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"Benutzerinhalte__Status-Informationen","User contents__Status information"
"Benutzerinhalte__Genaue Standortinformationen","User contents__Precise location information"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Netzwerk__Telefonnummern im Adressbuch","Network__Phone numbers in the Address Book"
"Netzwerk__Informationen zu Benutzer*innen, die dich kontaktieren und nicht in deinem Geräteadressbuch sind","Network__Information about users who contact you and are not in your device address book"
"Netzwerk__Informationen zu Benutzer*innen, die du blockiert hast","Network__Information about users you have blocked"
"Netzwerk__Informationen zu Benutzer*innen, die dich blockiert haben","Network__Information about users who have blocked you"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community- und Gruppeninformationen__Community- und Gruppeninformationen","Community and group information__Community and group information"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community and group information__Community and group information","Community and group information__Community and group information"
"Informationen des Customer Supports und andere Mitteilungen__Informationen des Customer Supports und andere Mitteilungen","Customer support information and other communications__Customer support information and other communications"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community and group information__Community and group information","Community and group information__Community and group information"
"Customer support information and other communications__Customer support information and other communications","Customer support information and other communications__Customer support information and other communications"
"Konto-Zugriffsinformationen__Verifizierungs-Informationen","Account access information__Verification information"
"Konto-Zugriffsinformationen__Pin","Account access information__Pine"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
